tck_iem_cd,외화증권한글명,fc_sec_eng_nm,주식/ETF코드,ltg_tot_stk_qty,fc_mkt_dit_cd,co_adr,web_adr,btp_cfc_nm,ceo_nm,eng_utk_otl_cts,ser_cfc_nm,ids_nm,mkt_pr_tot_amt
AAPB,GraniteShares 1.75x Long AAPL Daily ETF                     ,GRANITESHARES AAPL DAILY ETF                                ,ETF,0,-,-,-,-,-,-,-,-,0.0
AAPU,Direxion Daily AAPL Bull 2X Shares ETF                      ,DIREXION DAILY AAPL BULL 2X ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
AGGH,Simplify Aggregate Bond Credit Hedge ETF                    ,SIMPLIFY AGGREGATE BOND ETF                                 ,ETF,0,-,-,-,-,-,-,-,-,0.0
AIA,iShares Asia 50 ETF                                         ,ISHARES ASIA 50 ETF                                         ,ETF,0,-,-,-,-,-,-,-,-,0.0
AIQ,Global X Artificial Intellig & Tech ETF                     ,GLOBAL X FUND GLB X ART INTL TGY ETF                        ,ETF,0,-,-,-,-,-,-,-,-,0.0
AIYY,YIELDMAX AI OPTN INCME STRGY ETF                            ,YIELDMAX AI OPTN INCME STRGY ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
AMDL,GRANITESHARES 2X LONG AMD DL ETF                            ,GRANITESHARES 2X LONG AMD DL ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
AMDY,YIELDMAX AMD OPTION INC STRG ETF                            ,YIELDMAX AMD OPTION INC STRG ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
AMZU,Direxion Daily AMZN Bull 2X Shares ETF                      ,DIREXION DAILY AMZN BULL 2X ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
AMZY,YIELDMAX AMZN OPTN INC STRGY ETF                            ,YIELDMAX AMZN OPTN INC STRGY ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
AOR,iShares Core Growth Allocation ETF                          ,ISHARES CORE GROWTH ALLOCATION ETF                          ,ETF,36650000,-,-,-,-,-,-,-,-,0.0
APLY,YIELDMAX AAPL OPT INC STRTGY ETF                            ,YIELDMAX AAPL OPT INC STRTGY ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
ARKF,ARk Fintech Innovation ETF                                  ,ARK FINTECH INNOVATION ETF                                  ,ETF,30350000,-,-,-,-,-,-,-,-,0.0
ARKG,ARK Genomic Revolution ETF                                  ,ARK GENOMIC REVOLUTION ETF                                  ,ETF,52450000,-,-,-,-,-,-,-,-,0.0
ARKK,ARK Innovation ETF                                          ,ARK INNOVATION ETF                                          ,ETF,128300000,-,-,-,-,-,-,-,-,0.0
ARKQ,ARK Autonomous Technology & Robotics ETF                    ,ARK AUTONOMOUS TECH RBTCS ETF                               ,ETF,0,-,-,-,-,-,-,-,-,0.0
ARKW,ARK Next Generation Internet ETF                            ,ARK NEXT GENERATION INTERNET ETF                            ,ETF,17000000,-,-,-,-,-,-,-,-,0.0
ARKX,ARK Space Exploration & Innovation ETF                      ,ARK SPACE EXPLORATION INNVAT ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
ARKZ,ARK 21SHARES ACTVE ETRM FTRS ETF                            ,ARK 21SHARES ACTVE ETRM FTRS ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
AWAY,ETFMG Travel Tech ETF                                       ,AMPLIFY TRAVEL TECH ETF                                     ,ETF,0,-,-,-,-,-,-,-,-,0.0
BOTZ,Global X Robotcs Artificial Intellig ETF                    ,GLOBAL X ROBOTICS ARTFCL INTLGNC ETF                        ,ETF,84280000,NASD,-,-,-,-,Global X Robotics and Artificial Intelligence ETF,-,-,0.0
BUCK,Simplify Stable Income ETF                                  ,SIMPLIFY STABLE INCOME ETF                                  ,ETF,0,-,-,-,-,-,-,-,-,0.0
CDX,Simplify High Yield Credit Hedge ETF                        ,SIMPLIFY HIGH YLD PLUS CR HEDGE ETF                         ,ETF,0,-,-,-,-,-,-,-,-,0.0
CIBR,First Trust NASDAQ Cybersecurity ETF                        ,FIRST TRUST NASDAQ CYBRSCRTY ETF                            ,ETF,117400002,NASD,-,-,-,-,First Trust NASDAQ Cybersecurity ETF,-,-,0.0
CLOU,Global X Cloud Computing ETF                                ,GLOBAL X CLOUD COMPUTING ETF                                ,ETF,18870000,NASD,-,-,-,-,Global X Cloud Computing ETF,-,-,0.0
CONL,GraniteShares 2x Long COIN Daily ETF                        ,GRANITESHARES COIN DAILY ETF                                ,ETF,0,-,-,-,-,-,-,-,-,0.0
