티커종목코드,평균_변동성_10_90,가격_변동성_평가
AA          ,36531.5711784375,Moderate Volatility
AAL         ,9826.65818390625,Moderate Volatility
AAN         ,23129.19609375,Moderate Volatility
AAOI        ,12932.812347343752,Moderate Volatility
AAPB        ,14674.3396603125,Moderate Volatility
AAPL        ,114896.6119590625,Moderate Volatility
AAPU        ,18435.49639671875,Moderate Volatility
ABBV        ,110187.78458078126,Moderate Volatility
ABCL        ,19918.22758765625,Moderate Volatility
ABNB        ,58920.38364875,Moderate Volatility
ABR         ,3907.0096210937495,Moderate Volatility
ABSI        ,7343.815366250001,Moderate Volatility
ABT         ,25603.951453125,Moderate Volatility
ABUS        ,2465.7592115625002,Moderate Volatility
ACCO        ,3415.666330000001,Moderate Volatility
ACDC        ,248783.861924375,High Volatility
ACHR        ,4084.6077496875,Moderate Volatility
ACHV        ,4618.42214171875,Moderate Volatility
ACIU        ,14634.413395156249,Moderate Volatility
ACLS        ,49357.31300484375,Moderate Volatility
ACMR        ,16334.319995,Moderate Volatility
ACN         ,127309.2862528125,Moderate Volatility
ACRE        ,7348.831997031249,Moderate Volatility
ACRS        ,19352.220419062498,Moderate Volatility
ADBE        ,215245.329926875,High Volatility
ADC         ,13584.701173124995,Moderate Volatility
ADI         ,177929.0214328125,High Volatility
ADM         ,39513.2140625,Moderate Volatility
ADMA        ,13349.907531249999,Moderate Volatility
ADP         ,110503.25973437501,Moderate Volatility
ADPT        ,42961.1407009375,Moderate Volatility
ADSK        ,61346.8046875,Moderate Volatility
ADT         ,2511.4647923437497,Moderate Volatility
ADVM        ,26790.67131171875,Moderate Volatility
AEHR        ,14729.860007187499,Moderate Volatility
AEM         ,38657.73679703125,Moderate Volatility
AEP         ,21981.787546875,Moderate Volatility
AES         ,5789.80164859375,Moderate Volatility
AEVA        ,94496.19531953125,Moderate Volatility
AFCG        ,7201.7394325,Moderate Volatility
AFL         ,79644.65121875,Moderate Volatility
AFRM        ,116078.288221875,Moderate Volatility
